"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2019","AQS","360050133","1","0.4","ppm","5","PFIZER LAB SITE","19","79.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"01/02/2019","AQS","360050133","1","0.3","ppm","3","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"01/03/2019","AQS","360050133","1","0.4","ppm","5","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"01/04/2019","AQS","360050133","1","0.5","ppm","6","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"01/05/2019","AQS","360050133","1","0.5","ppm","6","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"01/06/2019","AQS","360050133","1","0.4","ppm","5","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"01/07/2019","AQS","360050133","1","0.3","ppm","3","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"01/08/2019","AQS","360050133","1","0.9","ppm","10","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"01/09/2019","AQS","360050133","1","0.7","ppm","8","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"01/10/2019","AQS","360050133","1","0.3","ppm","3","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"01/11/2019","AQS","360050133","1","0.2","ppm","2","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"01/12/2019","AQS","360050133","1","0.3","ppm","3","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"01/13/2019","AQS","360050133","1","0.2","ppm","2","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"01/14/2019","AQS","360050133","1","0.3","ppm","3","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"01/15/2019","AQS","360050133","1","0.5","ppm","6","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"01/16/2019","AQS","360050133","1","0.7","ppm","8","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"01/17/2019","AQS","360050133","1","0.3","ppm","3","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"01/18/2019","AQS","360050133","1","0.5","ppm","6","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"01/19/2019","AQS","360050133","1","0.5","ppm","6","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"01/20/2019","AQS","360050133","1","0.3","ppm","3","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"01/21/2019","AQS","360050133","1","0.3","ppm","3","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"01/22/2019","AQS","360050133","1","0.4","ppm","5","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"01/23/2019","AQS","360050133","1","0.5","ppm","6","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"01/24/2019","AQS","360050133","1","0.5","ppm","6","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"01/25/2019","AQS","360050133","1","0.3","ppm","3","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"01/26/2019","AQS","360050133","1","0.4","ppm","5","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"01/27/2019","AQS","360050133","1","0.5","ppm","6","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"01/28/2019","AQS","360050133","1","0.3","ppm","3","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"01/29/2019","AQS","360050133","1","0.4","ppm","5","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"01/30/2019","AQS","360050133","1","0.4","ppm","5","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"01/31/2019","AQS","360050133","1","0.3","ppm","3","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"02/01/2019","AQS","360050133","1","0.4","ppm","5","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"02/02/2019","AQS","360050133","1","0.4","ppm","5","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"02/03/2019","AQS","360050133","1","0.8","ppm","9","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"02/04/2019","AQS","360050133","1","1.2","ppm","14","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"02/05/2019","AQS","360050133","1","1.3","ppm","15","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"02/06/2019","AQS","360050133","1","0.4","ppm","5","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"02/07/2019","AQS","360050133","1","0.3","ppm","3","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"02/08/2019","AQS","360050133","1","0.6","ppm","7","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"02/09/2019","AQS","360050133","1","0.2","ppm","2","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"02/10/2019","AQS","360050133","1","0.3","ppm","3","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"02/11/2019","AQS","360050133","1","0.3","ppm","3","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"02/12/2019","AQS","360050133","1","0.3","ppm","3","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"02/13/2019","AQS","360050133","1","0.4","ppm","5","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"02/14/2019","AQS","360050133","1","0.5","ppm","6","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"02/15/2019","AQS","360050133","1","0.6","ppm","7","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"02/16/2019","AQS","360050133","1","0.5","ppm","6","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"02/17/2019","AQS","360050133","1","0.3","ppm","3","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"02/18/2019","AQS","360050133","1","0.3","ppm","3","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"02/19/2019","AQS","360050133","1","0.2","ppm","2","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"02/20/2019","AQS","360050133","1","0.3","ppm","3","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"02/21/2019","AQS","360050133","1","0.4","ppm","5","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"02/22/2019","AQS","360050133","1","0.4","ppm","5","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"02/23/2019","AQS","360050133","1","0.3","ppm","3","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"02/24/2019","AQS","360050133","1","0.4","ppm","5","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"02/25/2019","AQS","360050133","1","0.3","ppm","3","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"02/26/2019","AQS","360050133","1","0.2","ppm","2","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"02/27/2019","AQS","360050133","1","0.2","ppm","2","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"02/28/2019","AQS","360050133","1","0.3","ppm","3","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"03/01/2019","AQS","360050133","1","0.3","ppm","3","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"03/02/2019","AQS","360050133","1","0.4","ppm","5","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"03/03/2019","AQS","360050133","1","0.4","ppm","5","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"03/04/2019","AQS","360050133","1","0.3","ppm","3","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"03/05/2019","AQS","360050133","1","0.3","ppm","3","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"03/06/2019","AQS","360050133","1","0.3","ppm","3","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"03/07/2019","AQS","360050133","1","0.3","ppm","3","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"03/08/2019","AQS","360050133","1","0.4","ppm","5","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"03/09/2019","AQS","360050133","1","0.5","ppm","6","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"03/10/2019","AQS","360050133","1","0.4","ppm","5","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"03/11/2019","AQS","360050133","1","0.4","ppm","5","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"03/12/2019","AQS","360050133","1","0.3","ppm","3","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"03/13/2019","AQS","360050133","1","0.6","ppm","7","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"03/14/2019","AQS","360050133","1","0.3","ppm","3","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"03/15/2019","AQS","360050133","1","0.4","ppm","5","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"03/16/2019","AQS","360050133","1","0.3","ppm","3","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"03/17/2019","AQS","360050133","1","0.2","ppm","2","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"03/18/2019","AQS","360050133","1","0.3","ppm","3","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"03/19/2019","AQS","360050133","1","0.4","ppm","5","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"03/20/2019","AQS","360050133","1","1","ppm","11","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"03/21/2019","AQS","360050133","1","0.3","ppm","3","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"03/22/2019","AQS","360050133","1","0.3","ppm","3","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"03/23/2019","AQS","360050133","1","0.2","ppm","2","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"03/24/2019","AQS","360050133","1","0.3","ppm","3","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"03/25/2019","AQS","360050133","1","0.3","ppm","3","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"03/26/2019","AQS","360050133","1","0.3","ppm","3","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"03/27/2019","AQS","360050133","1","0.3","ppm","3","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"03/28/2019","AQS","360050133","1","0.3","ppm","3","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"03/29/2019","AQS","360050133","1","0.6","ppm","7","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"03/30/2019","AQS","360050133","1","0.8","ppm","9","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
"03/31/2019","AQS","360050133","1","0.3","ppm","3","PFIZER LAB SITE","24","100.0000","42101","Carbon monoxide","35620","New York-Newark-Jersey City, NY-NJ-PA","36","New York","005","Bronx","40.8679","-73.87809"
